Titulo %SEPARATOR% Estado %SEPARATOR% Tipo %SEPARATOR% GenerosJintian De Wancan Jiushi Ni %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Comedia %SEPARATOR% Fantasia
"Oshi no Ko" 2nd Season %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Drama %SEPARATOR% Sobrenatural
Digimon Beatbreak %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% 
Meitantei Precure! %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% 
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 4th Season %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
LasTame S2 %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Ingoku Danchi %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Isekai Nonbiri Nouka 2 %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Tongari Boushi no Atelier %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Ghost Concert: Missing Songs %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Kuroneko to Majo no Kyoushitsu %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Yozakura-san Chi no Daisakusen 2nd Season %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Tsue to Tsurugi no Wistoria Season 2 %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Niwatori Fighter %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Maid-san wa Taberu dake %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Nippon Sangoku %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Diamond no Ace: Act II Second Season %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Yuusha no Kuzu %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Needy Girl Overdose %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Ichijouma Mankitsugurashi! %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Shunkashuutou Daikousha: Haru no Mai %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Kami no Niwatsuki Kusunoki-tei %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Mao %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Akane-banashi %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Yomi no Tsugai %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Kanan-sama wa Akumade Choroi %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Onegai AiPri %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Yowayowa Sensei %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Daikenja Riddle no Jikan Gyakkou %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Mairimashita! Iruma-kun 4th Season %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Saikyou no Shokugyou wa Yuusha demo Kenja demo Naku Kanteishi (Kari) Rashii desu yo? %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Kill Ao %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Mahou no Shimai Lulutto Lilly %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Ganbare! Nakamura-kun!! %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru? Season 2 %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Nigashita Sakana wa Ookikatta ga Tsuriageta Sakana ga Ookisugita Ken %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Otaku ni Yasashii Gal wa Inai!? %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Re:Zero kara Hajimeru Isekai Seikatsu 4th Season %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 3rd Season %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Dorohedoro Season 2 %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Kanojo, Okarishimasu 5th Season %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 4th Season: 2-nensei-hen 1 Gakki %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Megami "Isekai Tensei Nani ni Naritai desu ka" Ore "Yuusha no Rokkotsu de" %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Tadaima, Ojamasaremasu! %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Hidarikiki no Eren %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Replica datte, Koi wo Suru. %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Aishiteru Game wo Owarasetai %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Marriagetoxin %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu. Season 2 %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Hyakki Yakoushou %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Liar Game %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Ponkotsu Fuuki Iin to Skirt-take ga Futekisetsu na JK no Hanashi %SEPARATOR%  %SEPARATOR% anime %SEPARATOR% 
Mazinger Z %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Drama %SEPARATOR% Mecha %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Alps no Shoujo Heidi %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Cosas de la vida %SEPARATOR% Drama %SEPARATOR% Historico
Uchuu Kaizoku Captain Herlock %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Aventura %SEPARATOR% Drama %SEPARATOR% Sci-Fi
Ginga Tetsudou 999 (Movie) %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Drama %SEPARATOR% Fantasia %SEPARATOR% Sci-Fi
Rose of Versailles %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Drama %SEPARATOR% Historico %SEPARATOR% Romance %SEPARATOR% Shoujo
Wakakusa Monogatari %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Cosas de la vida
Tetsuwan Atom (1980) %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Aventura %SEPARATOR% Sci-Fi
Mahou no Princess Minky Momo %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Fantasia
Macross %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Mecha %SEPARATOR% Militar %SEPARATOR% Musica %SEPARATOR% Romance %SEPARATOR% Sci-Fi %SEPARATOR% Space
Capitan Tsubasa %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Deportes %SEPARATOR% Shounen
Wata no Kuni Hoshi %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Drama %SEPARATOR% Fantasia %SEPARATOR% Romance
fist of the north star %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Artes Marciales %SEPARATOR% Drama %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Kimagure Orange Road %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Comedia %SEPARATOR% Cosas de la vida %SEPARATOR% Drama %SEPARATOR% Romance %SEPARATOR% Shounen %SEPARATOR% Super Poderes
Ronin Warriors %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Samurai %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Ranma ½ %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Artes Marciales %SEPARATOR% Comedia %SEPARATOR% Cosas de la vida
Dragon Ball Z (Original) %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Artes Marciales %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Shounen %SEPARATOR% Super Poderes
Dragon Ball Z Movie 01: The Deadzone %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Kiki's Delivery Service %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Drama %SEPARATOR% Fantasia %SEPARATOR% Magia %SEPARATOR% Romance
Dragon Ball Z Movie 02: The World's Strongest %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Dragon Ball Z Movie 03: The Tree of Might %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Dragon Ball Z Movie 04: Lord Slug %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Dragon Ball Z Movie 05: Cooler's Revenge %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Arslan Senki: The Heroic Legend of Arslan %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Aventura %SEPARATOR% Drama %SEPARATOR% Fantasia
Tekkaman Blade %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Aventura %SEPARATOR% Drama %SEPARATOR% Mecha %SEPARATOR% Militar %SEPARATOR% Romance %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Sailor Moon %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Demonios %SEPARATOR% Magia %SEPARATOR% Romance %SEPARATOR% Shoujo
Dragon Ball Z Movie 06: Return of Cooler %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Dragon Ball Z Movie 07: Super Android 13 %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Ushio to Tora OVA %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Comedia %SEPARATOR% Terror
Irresponsible Captain Tylor %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Comedia %SEPARATOR% Militar %SEPARATOR% Parodia %SEPARATOR% Sci-Fi %SEPARATOR% Space
Dragon Ball Z Movie 08: Broly - The Legendary Super Saiyan %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Dragon Ball Z Movie 09: Bojack Unbound %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Slam Dunk %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Colegial %SEPARATOR% Comedia %SEPARATOR% Cosas de la vida %SEPARATOR% Deportes %SEPARATOR% Drama %SEPARATOR% Shounen
Dragon Ball Z Movie 10: Broly - Second Coming %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Artes Marciales %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Demonios %SEPARATOR% Shounen %SEPARATOR% Super Poderes
Dragon Ball Z Movie 11: Bio-Broly %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Artes Marciales %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Shounen %SEPARATOR% Super Poderes
Taiho Shichau zo %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Comedia
DNA² %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Comedia %SEPARATOR% Romance %SEPARATOR% Sci-Fi
Aozora Shoujotai %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Militar %SEPARATOR% Romance %SEPARATOR% Shounen
Gulliver Boy %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Aventura %SEPARATOR% Fantasia %SEPARATOR% Magia %SEPARATOR% Mecha
DNA² OVA %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Comedia %SEPARATOR% Drama %SEPARATOR% Sci-Fi
Dragon Ball Z Movie 12: Fusion Reborn %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Tenchi Muyo! %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Comedia %SEPARATOR% Harem %SEPARATOR% Romance %SEPARATOR% Sci-Fi %SEPARATOR% Shounen %SEPARATOR% Space
Fushigi Yuugi %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Drama %SEPARATOR% Fantasia %SEPARATOR% Isekai %SEPARATOR% Romance %SEPARATOR% Shoujo
Mobile Suit Gundam Wing %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Aventura %SEPARATOR% Drama %SEPARATOR% Mecha %SEPARATOR% Militar %SEPARATOR% Psicologico %SEPARATOR% Sci-Fi %SEPARATOR% Shounen %SEPARATOR% Space
Street Fighter II V %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Drama %SEPARATOR% Misterio %SEPARATOR% Shounen
Dragon Ball Z Movie 13: Wrath of the Dragon %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Tenkuu no Escaflowne %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Fantasia %SEPARATOR% Mecha %SEPARATOR% Romance %SEPARATOR% Shoujo
B'tX %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Mecha %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
Burn Up! W %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Comedia %SEPARATOR% Ecchi %SEPARATOR% Sci-Fi
Jigoku Sensei Nube %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Colegial %SEPARATOR% Comedia %SEPARATOR% Romance %SEPARATOR% Shounen %SEPARATOR% Sobrenatural %SEPARATOR% Terror
You're Under Arrest! (1996) %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Comedia %SEPARATOR% Policial
Shin Tenchi Muyo! %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Comedia %SEPARATOR% Harem %SEPARATOR% Romance %SEPARATOR% Sci-Fi %SEPARATOR% Shounen
B'tX Neo %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Aventura %SEPARATOR% Shounen
Devilman Lady %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Drama %SEPARATOR% Psicologico %SEPARATOR% Terror
One Piece: Taose! Kaizoku Ganzack %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Fantasia %SEPARATOR% Shounen
Kare Kano %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Colegial %SEPARATOR% Comedia %SEPARATOR% Cosas de la vida %SEPARATOR% Drama %SEPARATOR% Romance %SEPARATOR% Shoujo
Yoiko %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Comedia %SEPARATOR% Cosas de la vida %SEPARATOR% Ecchi
Rurouni Kenshin: Tsuiokuhen %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Artes Marciales %SEPARATOR% Historico %SEPARATOR% Romance
Petshop of Horrors %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Misterio %SEPARATOR% Sobrenatural %SEPARATOR% Terror
Digimon Adventure %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Accion %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Fantasia %SEPARATOR% Niños %SEPARATOR% Shounen
Kachou Ouji %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Aventura %SEPARATOR% Comedia %SEPARATOR% Cosas de la vida %SEPARATOR% Musica %SEPARATOR% Sci-Fi
Cardcaptor Sakura: The Movie %SEPARATOR%  %SEPARATOR% Anime %SEPARATOR% Comedia %SEPARATOR% Fantasia %SEPARATOR% Magia %SEPARATOR% Shoujo
